24	6	E020	Техническая ошибка	4 - прочие ошибки (повторить позже)	24, 6, E020	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	WRITE_SESSION_IN_PROGRESS 	Активна сессия записи ЭБ на Носитель		
24	6	E021	Данный тип карты не обслуживается. Обратитесь в пассажирское агентство Метрополитена. Тел.: 8 (495) 688-02-61	2 - проблемы с картой (метро)	24, 6, E021	"Введенный Вами номер карты «Тройка» отклонен системой. Пожалуйста, обратитесь в сервисный центр «Московский транспорт» 8 (495) 539 54 54 или службу техподдержки АГ с кодом: С,D,M"	WRONG_CARD_TYPE 	Неизвестный тип карты	Проинформировать Покупателя о невозможности приобрести этот тип билета.	Данный тип карты не обслуживается. Обратитесь в пассажирское агентство Метрополитена. Тел.: 8 (495) 688-02-61
24	6	E022	Ваша карта Тройка не обслуживается. Обратитесь в пассажирское агентство Метрополитена. Тел.: 8 (495) 688-02-61	2 - проблемы с картой (метро)	24, 6, E022	"Введенный Вами номер карты «Тройка» отклонен системой. Пожалуйста, обратитесь в сервисный центр «Московский транспорт» 8 (495) 539 54 54 или службу техподдержки АГ с кодом: С,D,M"	OPERATION_DENIED 	Операция признана "фродом"	Проинформировать Покупателя о невозможности работы с данной картой.	Ваша карта Тройка не обслуживается. Обратитесь в пассажирское агентство Метрополитена. Тел.: 8 (495) 688-02-61
24	6	E023	Техническая ошибка	4 - прочие ошибки (повторить позже)	24, 6, E023	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	NO_READ_DATA_FOR_CARD_SESSION 	Для выполнения требуются считанные с Носителя данные, но они не переданы в данной функции и не передавались ранее.		
24	6	E024	Техническая ошибка	4 - прочие ошибки (повторить позже)	24, 6, E024	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	WRONG_READ_DATA 	Для выполнения требуются считанные с Носителя данные, но передаются не те блоки, что требовалось считать.		
24	6	E025	Техническая ошибка, обратитесь в службу технической поддержки банка	4 - прочие ошибки (повторить позже)	24, 6, E025	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	INVALID_REQUEST 	Запрос сформирован некорректно (недопустимая комбинация значений параметров)		
24	6	E026	Техническая ошибка, обратитесь в службу технической поддержки банка	4 - прочие ошибки (повторить позже)	24, 6, E026	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	PAYMENT_IN_PROGRESS 	Процесс платежа уже инициирован		
24	6	E027	Техническая ошибка, обратитесь в службу технической поддержки банка	4 - прочие ошибки (повторить позже)	24, 6, E027	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	BITMAP_PROVIDER_ERROR 	Ошибка при обращении к эмитенту карты		
24	6	E028	На карте есть действующий билет. Используйте все поездки, прежде чем записывать новый билет. 	4 - прочие ошибки (повторить позже)	24, 6, E028	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	NO_SPACE_FOR_THE_TICKET 	На носителе есть неизрасходованный действующий ЭБ, который будет затерт, если записать данный ЭБ.	Проинформировать Пассажира, что вначале он должен израсходовать имеющийся на Носителе ЭБ.	На карте есть действующий билет. Используйте все поездки, прежде чем записывать новый билет. 
24	6	E029	Пополнение карты невозможно: нет платежей либо нет места для записи.	4 - прочие ошибки (повторить позже)	24, 6, E029	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	NO_TICKETS_TO_WRITE 	Для записи на данный момент нет битмэпов купленных с отложенной записью ЭБ.		
24	6	E030	Техническая ошибка	4 - прочие ошибки (повторить позже)	24, 6, E030	"Приносим свои извинения. Удаленное пополнение карты «Тройка» отклонено. Попробуйте повторить Ваш запрос позднее. " (код для обращения в техподдержку С,D,M)	WRONG_BITMAP_PROVIDER_SESSION 	Эмитент битмапа завершил сессию работы с картой.		
